bb-12543	291.027	-116.021
leaf-12540	212.035	-163.515
bb-12542	357.666	-92.5244
leaf-12551	523.621	-87.3896
leaf-12620	259.59	-264.875
bb-12557	494.41	-382.894
bb-12631	442.995	-474.114
leaf-12853	639.19	-152.759
bb-12854	523.208	-263.885
bb-12874	557.342	-166.116
bb-12949	627.047	-200.955
bb-12855	597.338	-153.47
bb-12856	602.954	-170.87
leaf-12559	379.589	-194.25
gw-12588	375.474	-253.566
gw-12589	372.601	-262.317
gw-12590	379.29	-254.91
leaf-12562	449.307	-202.364
leaf-12852	553.114	-124.341
bb-12591	442.047	-346.214
gw-12784	328.236	-205.898
gw-12787	303.696	-228.638
leaf-12604	345.013	-199.149
leaf-12606	404.783	-182.075
leaf-12622	293.211	-215.885
leaf-12729	368.284	-174.118
leaf-12730	328.494	-188.366
leaf-12783	393.28	-189.368
leaf-12788	359.56	-197.397
leaf-12946	383.101	-170.668
leaf-12947	416.775	-172.014
leaf-13080	337.764	-178.469
bb-12592	415.495	-335.093
bb-12593	425.03	-333.588
bb-12594	422.632	-340.276
leaf-12601	389.31	-153.985
leaf-12563	355.263	-257.267
leaf-12561	281.326	-218.828
bb-12564	424.992	-293.395
bb-12600	398.54	-320.922
bb-12918	487.467	-336.411
bb-12995	364.223	-395.69
bb-12996	369.721	-398.496
leaf-12565	278.556	-245.645
leaf-12566	277.688	-231.871
leaf-12571	410.756	-165.019
leaf-12568	302.789	-199.56
leaf-12572	312.141	-178.666
leaf-12570	291.311	-203.012
leaf-12575	316.713	-212.573
leaf-12577	349.33	-173.909
leaf-12579	311.555	-191.466
leaf-12573	294.37	-242.432
leaf-12583	261.048	-232.327
gw-12585	451.928	-174.019
leaf-12614	477.53	-67.6259
leaf-12587	259.762	-196.9
leaf-12581	361.982	-165.358
leaf-12584	397.735	-169.099
bb-13010	295.539	-352.748
bb-12994	367.774	-406.052
gw-12921	583.431	-376.447
gw-12922	575.99	-367.795
bb-13001	279.194	-440.218
bb-13006	348.292	-462.383
bb-13002	265.233	-437.228
leaf-12621	192.638	-189.891
gw-13034	367.352	-385.506
leaf-12624	184.93	-702.789
gw-12693	232.285	-569.71
leaf-13052	142.404	-660.166
leaf-13053	172.247	-690.162
leaf-12625	120.274	-629.921
leaf-12626	661.082	-330.394
leaf-12933	683.274	-297.706
leaf-12934	653.552	-350.109
leaf-13087	644.917	-309.502
leaf-13088	670.47	-293.91
gw-12633	423.301	-683.677
leaf-12643	458.716	-794.776
leaf-12646	438.161	-798.745
gw-12658	317.215	-698.097
leaf-12627	219.737	-155.246
leaf-12653	268.289	-785.862
leaf-12655	353.355	-722.154
leaf-12672	313.527	-803.135
leaf-12705	381.023	-730.563
leaf-12706	331.951	-711.083
leaf-12879	397.026	-735.108
leaf-12880	409.84	-724.554
leaf-13082	341.001	-720.1
bb-12634	416.8	-589.723
leaf-12638	331.345	-810.219
leaf-12635	413.592	-741.9
leaf-12636	422.551	-725.008
leaf-12644	225.196	-760.78
leaf-12640	252.838	-778.61
leaf-12639	298.453	-797.14
leaf-12642	238.646	-770.502
leaf-12651	409.692	-628.434
leaf-12648	316.588	-714.56
leaf-12647	283.418	-792.318
leaf-12650	392.319	-720.692
leaf-12649	366.887	-738.457
leaf-12656	368.432	-719.881
leaf-12908	504.845	-702.42
gw-12909	536.63	-727.09
bb-12702	439.558	-483.591
leaf-13054	203.217	-562.462
leaf-12677	182.709	-208.897
leaf-12676	187.337	-199.187
leaf-12675	228.027	-147.306
leaf-12678	468.595	-188.544
leaf-12674	236.839	-139.704
leaf-12682	155.747	-692.778
leaf-12683	127.084	-657.898
leaf-12680	163.84	-704.21
leaf-12681	156.4	-674.817
leaf-12685	65.7432	-618.43
leaf-12684	135.996	-672.202
leaf-12688	131.215	-645.489
leaf-12689	189.235	-716.277
leaf-12686	121.031	-640.546
leaf-12687	175.758	-712.939
leaf-12700	567.881	-866.699
gw-12907	614.695	-771.659
gw-12906	606.014	-776.11
leaf-12911	565.19	-850.028
leaf-13083	679.756	-801.686
leaf-13084	554.908	-858.311
leaf-13085	596.223	-842.873
leaf-13089	655.48	-842.289
gw-13003	228.646	-424.043
leaf-12699	649.736	-823.677
leaf-13086	494.283	-822.229
bb-12714	518.688	-427.955
leaf-12698	543.437	-871.676
leaf-12703	615.28	-380.276
leaf-12701	717.014	-696.794
bb-12711	677.481	-521.533
bb-12712	246.941	-527.901
bb-12733	451.94	-455.89
bb-12710	710.903	-405.098
bb-12713	546.456	-330.615
leaf-12715	661.945	-306.325
leaf-12716	649.9	-339.323
leaf-12717	56.5685	-443.164
gw-12988	156.291	-448.829
leaf-13056	66.5477	-494.427
leaf-12718	58.2393	-467.766
leaf-12719	671.815	-315.309
leaf-12720	646.679	-281.737
leaf-12721	479.368	-710.093
leaf-12722	450.528	-716.347
leaf-12723	496.857	-708.633
leaf-12731	705.842	-778.61
leaf-12725	459.554	-729.317
leaf-12744	218.108	-533.146
leaf-12739	286.802	-591.986
leaf-12726	473.073	-727.877
bb-12732	334.385	-312.17
gw-13035	383.008	-374.053
bb-13036	381.316	-358.653
bb-13037	352.889	-362.656
bb-12785	456.642	-438.033
leaf-12734	419.297	-485.002
bb-12737	376.52	-477.894
leaf-12738	305.257	-598.76
leaf-12741	222.037	-550.296
leaf-12745	195.101	-534.375
leaf-12740	295.822	-574.443
leaf-12742	246.752	-573.412
leaf-12743	272.709	-590.33
leaf-12748	260.86	-580.705
bb-12750	245.119	-513.913
leaf-12746	231.417	-541.469
leaf-12747	314.615	-582.663
bb-12749	277.863	-543.631
bb-12771	269.773	-333.632
leaf-12962	338.229	-603.314
leaf-12782	826.756	-388.564
gw-13115	725.792	-369.258
leaf-12774	682.844	-823.632
bb-12772	288.42	-377.527
leaf-12775	613.607	-838.929
leaf-12777	814.877	-333.322
gw-13117	744.136	-415.375
gw-12779	817.338	-357.12
gw-13114	721.167	-341.197
leaf-13116	753.176	-385.782
leaf-12781	836.821	-414.323
